storyId,comments
92y1kg,1
94672h,2
973p3a,1
97rtyq,1
98haya,1
9cisjj,1
9dluz2,1
9e6jwr,1
9ea322,1
9eocjj,1
9eyn1p,1
9g5d4j,2
9g6gg6,1
9gufxc,1
9ha8yh,1
9hd1do,1
9hfasj,1
9i265o,3
9ick0y,2
9jexcp,1
9l3ybs,1
9lbl9c,1
9lsanv,1
9lzs9l,1
9mjx71,1
9o1hi8,2
9ofsi8,1
9ohewo,1
9p5txm,1
9q01we,1
9qe3t7,1
9qejeg,1
9qwjp4,1
9qzpva,1
9qzt9j,9
9rgzf3,1
9sr7ry,1
9su5q1,1
9svejl,1
9t4l5e,1
9w8epw,2
9xfyz5,2
9xg0uw,1
9xpjfy,1
9xzuxg,1
9ys2bi,1
9z3cm6,2
9zaswk,1
9zin2g,1
a002ub,1
a0bw88,1
a0hx5t,1
a0vz3f,5
a0z5qx,1
a1dp2r,1
a1xyn9,2
a23vjd,1
a29nio,1
a2idn5,2
a2qhzs,1
a2w4no,1
a33nod,2
a48i3d,1
a4o7d2,1
a5fdb7,1
a5kt33,1
a64o2m,1
a6ancd,2
a6dbp9,1
a6kbfh,1
a6w6by,2
a6w7zz,1
a6zb46,1
a720dj,2
a7fr0w,2
a7ggtx,1
a7hj6s,1
a7o7ar,2
a7vhm0,1
a7x306,1
a7y5va,1
a7yb1o,1
a83qyx,2
a89au7,1
a8b9ld,1
a8gbww,1
a8itkl,2
a8mjru,1
a8xakj,1
a8xq4n,1
a94zyo,1
a99b2l,1
a9cmk4,1
a9eip3,2
a9jers,1
a9n6jd,1
a9si5n,1
aaao23,1
aabc3s,1
aabtdz,1
aabw94,1
aaeary,1
aaepti,1
aaftsc,1
aakhv3,1
aanv6i,1
aaqmhr,1
aasqkh,1
aat39j,1
aau0rw,8
aaverm,4
aazyi3,2
ab0zph,1
ab6hr9,2
ab6i3q,3
ab8zpw,1
ab90k8,2
ab98ft,1
abadnu,1
abaegx,2
abaik1,3
abapky,1
abbq4s,1
abc4xo,5
abcco8,4
abckml,1
abco15,1
abcv3p,2
abd1fa,1
abe66r,1
abelzp,5
abf4r3,1
abg11q,1
abgcly,6
abgfyo,1
abgzs9,15
abhkkk,1
abiax3,2
abjcv6,4
abk87c,1
abl90b,1
ablnle,14
abmgbh,5
abmutb,1
abmvsj,8
aboj97,2
abotoe,6
abpce1,1
abptqr,1
abqeym,1
abt7cf,4
abtx27,1
abutcz,3
abuzy4,1
abwj01,1
abwkyo,2
abwwgq,2
abwwjx,1
aby8yi,5
abyhv8,2
ac0xov,1
ac1b7o,1
ac1d0h,16
ac25nb,6
ac2r3w,1
ac3r42,6
ac4aun,1
ac5zs4,1
ac650s,1
ac6cia,3
ac79lz,13
ac7iig,2
ac7x9u,1
ac8pg8,2
ac96ew,6
ac9xbp,2
aca6o1,2
acb27l,1
acb58k,2
acb88u,2
acba6f,1
acbbjq,1
acc5ez,1
accnpw,1
accq9e,2
acdwc1,8
ach2j4,6
acjk2m,6
acjlgv,1
ackmeg,1
acl77u,1
aclfkw,2
acm8ea,1
acmcoj,2
acmg2y,4
acn2tv,3
acnv1v,1
aco9ft,1
acosit,3
acosyc,1
acot2v,3
acoubm,2
acp8hx,1
acp8le,1
acptpg,1
acqd74,1
acr90o,8
act56z,1
actf5w,4
acub5p,2
acvji1,1
acvuc1,3
acw9t9,2
acwt1x,1
acxdim,2
acxj81,1
acy2mn,1
acy7go,1
acyaxb,20
acyced,6
acz6m9,2
acz7f4,1
aczgwd,2
aczl71,1
aczlc5,2
aczmk7,2
aczqc1,3
ad0f13,1
ad1zpd,1
ad3i3q,1
ad5zto,11
ad66yx,1
ad68es,1
ad6915,1
ad6xqm,3
ad7c2y,1
ad88x0,3
ad902p,2
ada3iw,1
adaqvn,7
adch7q,2
addkfh,7
addkz9,1
addx0k,7
adeodq,6
adf9lo,14
adhfmg,10
adhtfl,1
adhype,4
adi87p,1
adiaq1,2
adipws,1
adjink,2
adjon1,2
adjpjs,1
adkaoz,1
adkihh,1
adkw3e,1
adl72s,1
adm2xo,2
admwe0,1
admywu,2
adn2pc,1
adn5d4,1
adnd2u,1
adnss2,1
adnywz,1
adobge,1
adp451,2
adpati,1
adpur5,1
adqcdt,1
adqgrm,2
adt7vs,13
adusb2,1
adw25c,1
adz7k4,3
ae02e6,7
ae1lax,2
ae1q0s,3
ae1wp9,1
ae2ipk,11
ae2lt7,18
ae3c7e,5
ae3d8r,1
ae3hfe,1
ae407a,7
ae4atw,1
ae4kjg,1
ae5edq,32
ae6l1r,4
ae7evg,4
ae7kep,2
ae8fhq,1
ae901j,8
ae9f9p,1
aeaelm,4
aeaupm,1
aebokw,3
aec22r,2
aecsz6,1
aeg13z,1
aej0x5,9
aekguj,1
ael6js,3
aeldui,1
aemxks,2
aenftg,1
aepb50,4
aepykc,1
aeqdqx,2
aeqnwe,1
aeqq2v,1
aeqsus,1
aerezt,4
aerhad,15
aes499,9
aesk0w,5
aesnjg,1
aet26k,2
aet5hv,1
aet67p,16
aetlh0,1
aetsi0,3
aeuvdk,4
aev4s5,1
aev77j,2
aev7aa,22
aevc64,3
aevkml,2
aew4ga,1
aew6hc,4
aewxpp,2
aewxqi,1
aexavr,1
aexs2y,1
aexs4k,1
aexy67,1
aey6qk,2
aeykk2,3
aeym0g,1
af0nux,1
af0w0n,1
af13t5,2
af15lo,1
af1f7b,1
af3xxl,1
af42iq,1
af5brs,4
af5gqn,1
af63k7,2
af8ahc,1
af8g33,1
af8t5i,1
af9l6b,2
af9wk0,1
afbmzj,2
afc9wd,1
afcjhc,4
afd2nk,1
afdezr,1
afdofh,1
afdu9i,1
afe3mc,7
affacs,21
affh70,1
affohu,1
afgod7,3
afgoh6,5
afhgu4,1
afi2lb,1
afjkiu,3
afkb13,4
afkuf5,1
afld6t,1
aflt2i,2
afmab4,15
afnihq,1
afp1w7,5
afq7jm,1
afql4m,3
afqy1s,1
afrgjx,1
afrki3,1
afs2ku,1
afsc5n,1
afu3gg,1
afve01,1
afvg62,2
afw394,1
afx4u8,2
afxoi9,3
afy53w,1
afyz7s,6
ag0mj3,2
ag0oy8,3
ag0qwe,2
ag1j1i,2
ag241o,3
ag2ciq,2
ag2qnc,1
ag2t8w,1
ag36dz,1
ag3sxs,1
ag4cah,3
ag4cml,1
ag57u3,1
ag6gg7,4
ag6p5f,1
ag6qg9,19
ag6w0s,1
ag6whi,1
ag845k,1
ag8t2z,1
ag8ujn,1
ag9ah2,5
ag9uei,2
ag9z4c,10
aga9py,1
agakh1,2
agbhme,1
agbxun,2
agc3we,26
agcfrl,4
agd8qq,1
agdugb,9
aggb8e,1
agh6fh,1
aghl54,3
aghul5,1
agib40,1
agilgg,2
agjcvl,3
agktmi,1
agkxz4,1
agml8s,1
agptkp,1
agqyeg,1
ags3xl,9
ags7ik,1
agsrb9,21
agt1lx,1
agt4b8,1
agtjzr,1
agusm1,3
agutob,1
agux2e,3
agv0ww,1
agv8qm,1
agva0q,2
agva1o,3
agvkd6,1
agvt3z,1
agvydg,3
agxowz,2
agxpdq,1
agy5hm,9
agy9w9,4
agzkmj,5
ah03sn,4
ah0ckf,11
ah0cnb,3
ah0l8w,1
ah1e6i,2
ah1foa,1
ah1ly2,1
ah23w4,1
ah2902,4
ah2g05,1
ah2g82,1
ah2q8q,1
ah364t,1
ah39kb,1
ah5voh,4
ah5xz4,2
ah6baf,1
ah6sj1,1
ah765y,2
ah82qf,3
ah8ldr,1
ahail4,1
ahamzi,2
ahbs9a,4
ahbvkz,1
ahchd8,1
ahd767,1
ahf5t2,1
ahfc04,1
ahfzii,2
ahgmct,3
ahh824,8
ahhcya,7
ahhd82,1
ahhfvg,5
ahhs5p,1
ahhyi1,1
ahio2n,2
ahjvs9,1
ahk1uf,1
ahk23d,10
ahm5va,3
ahm628,3
ahm8xe,1
ahmowf,1
ahnfap,1
ahojld,2
ahpljj,12
ahpo8r,5
ahppz6,5
ahq0k2,3
ahqpfe,1
ahrg3r,2
ahrgud,4
ahrp2q,2
ahruu6,10
ahrvfk,2
ahryhv,5
ahs15k,1
ahsoxb,2
ahu3f0,2
ahuhcu,1
ahuluc,4
ahv6w9,1
ahvcsi,1
ahvjkk,1
ahvjx9,8
ahvrsp,1
ahvse1,1
ahw4aj,1
ahxx2z,3
ahzdxz,1
ai0ulz,1
ai1f6f,1
ai1r5q,3
ai1rdx,2
ai2sug,4
ai41d3,85
ai42qi,2
ai4d86,3
ai57qd,2
ai5em3,2
ai692w,1
ai6qnw,1
ai7ebg,1
ai830p,2
ai8dqy,6
aia6qx,4
aiabrd,22
aiar2g,1
aiaze5,2
aibqc7,5
aibvwh,1
aicu7l,1
aicz1a,9
aid0xb,6
aid2fk,1
aid9u8,1
aidqom,2
aif617,1
aifgfs,1
aifomu,1
aifq5o,1
aigu05,1
aigz03,1
aihr7p,1
aij9kc,1
aijeop,1
ail7gk,3
ailm1o,2
aimsi5,1
ainnml,4
aintjh,1
ainwrt,2
aio8f0,3
aioxfi,2
aipjhh,1
aiqg6z,1
aiqopf,1
aiqr5b,1
airx89,1
aiswcv,4
aiswyu,1
aitk8v,1
aitt5t,2
aiu5km,15
aiukw0,2
aiwxi1,1
aixakj,1
aixh56,1
aixuph,4
aiyd5e,1
aizg4r,9
aizqnx,2
aj0pja,1
aj0tb6,1
aj10tx,1
aj1tbr,1
aj1yr1,2
aj39fg,3
aj3m5m,1
aj40zp,4
aj47fc,13
aj4i2o,1
aj51xw,1
aj5ia2,1
aj81ml,3
aj8bwc,2
aj8gd7,1
aj92ss,6
aj9b76,1
ajc6rp,2
ajc7db,1
ajcf9a,1
ajcgv4,6
ajd0cy,1
ajdimh,1
ajgcvb,1
ajgyo9,15
aji7v8,3
ajiwsj,16
ajjfao,3
ajjlpm,3
ajkaqx,2
ajkbeg,3
ajkh3n,1
ajl6hj,1
ajldlg,1
ajlesi,1
ajlhg2,2
ajlobt,2
ajm362,1
ajmffl,5
ajmupb,3
ajn7zp,1
ajnowq,4
ajoabh,2
ajoym5,3
ajpd35,1
ajpdj5,1
ajpmnx,4
ajppcr,1
ajq950,3
ajq9i2,5
ajqebo,2
ajqlo1,1
ajri4v,1
ajrsvv,2
ajrtpp,3
ajrxtq,5
ajs9ei,1
ajsqc6,1
ajt2ng,1
ajt59l,2
ajt6vy,1
ajv7ah,5
ajxxv0,6
ajy0wp,1
ajyy3q,1
ajzr9b,3
ak0b53,1
ak1hn6,3
ak1n2l,2
ak1v1s,3
ak2bh3,7
ak2ta0,2
ak3qwz,1
ak4cob,2
ak4ssn,15
ak5qpf,1
ak7xoo,3
ak88fb,1
ak8m6x,9
ak8rqu,1
ak93ed,3
ak965f,1
ak9m6a,2
ak9vmb,1
aka5ho,5
aka85v,3
akaqu3,8
akatxl,1
akc6b5,1
akchsm,3
akclma,1
akcnn9,5
akcxxf,2
akdgtt,2
akdkuf,2
akdqcv,1
akdskn,1
akejc2,1
akffzz,16
akfyy8,3
akh2m1,1
aki2ws,1
akjxnj,2
akk2wb,2
akmh8n,4
aknpb7,2
akoebi,1
akp19m,4
akp6lz,1
akq73t,3
akq93u,1
akqyeg,9
akrjsd,8
akrwjx,2
aks55m,1
akss6j,2
aku4g9,1
akuv3z,1
akuzen,2
akvibu,1
akwj8c,1
akwjix,21
akwmg7,1
akwo9g,24
akwprz,2
akx1vf,1
akx4h0,4
akx6x5,1
akxjiy,2
akxkxc,1
al0ioy,3
al0mjk,2
al1jj4,2
al1r60,1
al26y7,1
al2j2x,35
al2uni,4
al32cn,1
al3kn3,2
al4ev3,1
al4f5k,4
al4gup,3
al5sy6,7
al78ae,1
al9kp8,1
al9rn9,2
ala90g,1
alaeu6,2
alb4mp,1
albt6z,5
ald898,3
aldsrc,1
alfeq9,4
alga94,2
alhlgh,1
alhptl,1
alhuqf,1
alk533,4
alkf16,4
alkgwo,1
alkp5e,1
all2n0,2
allod7,1
allp9t,1
allrjf,5
almnd9,1
almymr,1
alnc51,1
alngzw,3
alo3ru,2
alodki,1
aloluw,1
alp8vw,2
alpnti,1
alppnj,1
alpt3j,2
alq2t7,1
alq5sg,8
alr5ia,1
alrpvm,40
alrux2,1
alseg6,13
alsyrq,1
alt336,2
altd1a,1
altilw,1
altrqo,1
altyqh,1
altzmm,1
alugh9,2
alujdc,2
alvrfi,2
alvv3l,1
alw3qg,1
alyyss,4
alz7iw,1
am2d6k,1
am2dir,1
am2hop,1
am3o4q,1
am4l8c,3
am4yvx,2
am59df,17
am5arb,1
am6nho,2
am769v,2
am76to,3
am777d,1
am7w8b,1
am8hrj,4
am8jly,1
amacjn,4
amb0m7,1
ambbbf,1
ambcnw,19
amc3at,6
ame1ix,1
amf2cj,1
amf8gq,3
amfbrg,2
amfnnc,4
amgh2t,4
amgl8z,1
amh7uy,2
amhyrs,1
ami0cd,18
ami609,2
amio2p,2
amjry1,2
amkol7,1
amkusa,1
ammagl,1
amnwq5,2
amosjc,1
amp3kj,2
amqcec,1
amqwu2,1
amrosz,1
amschb,4
amshmn,1
amv6f1,1
amw24i,1
amw5s0,2
amwn0b,6
amx99i,1
amxttl,1
amxuh4,3
amy80f,5
amyh6g,2
amzyqq,7
an0s3x,39
an1fr6,2
an1q6v,1
an22wk,1
an2mh0,1
an2p0e,1
an46ls,1
an4ft3,1
an4pdd,6
an5lgp,14
an64pc,2
an6spc,1
an734p,1
an9d22,1
anc0x2,1
andte8,1
ane1gd,2
anebrs,2
anegtp,1
aneybu,1
ang9dq,3
anhezi,2
ani8sz,6
anirn1,2
anjlq4,1
anjpvp,1
anjt1c,1
ankeoq,2
ankntl,2
ankpoq,8
anl9oh,3
anm8rs,1
anmwzs,1
annyar,1
ano3hj,1
anotz3,4
anoz0e,2
anp4yt,1
anpy35,1
anq3zt,25
anq4cy,1
anqhcn,1
anqkrg,3
anqokf,1
anqx7d,3
anqy93,2
ansk5k,1
ant2hs,30
antqdt,1
anv2eu,1
anv3xf,1
anvfek,1
anvlyy,1
anwwxr,2
anwyv1,1
anxy0c,2
ao0olw,5
ao1uz8,1
ao3l64,3
ao4mu9,4
ao5y78,5
ao7hya,1
ao7jc1,1
ao8aw3,8
ao8gsx,3
ao9wiy,1
aoajwp,2
aoal9g,11
aoarly,1
aobehd,4
aocwe2,6
aod1uu,18
aod95a,2
aoez54,2
aog10g,1
aog2rp,12
aoghl8,1
aogiq8,1
aognbw,16
aoh2na,1
aohdwu,1
aohk2s,1
aohosb,2
aohqwa,1
aoi2na,2
aoiko2,1
aoir9u,34
aojfjz,2
aojizm,4
aokuhd,5
aol2qz,1
aomcbv,1
aomgb6,1
aomjji,1
aomnpm,1
aomxha,1
aon8l5,1
aone7o,1
aono7d,2
aons3j,1
aoolu4,1
aoou8h,2
aordpt,1
aosfoc,1
aot19d,17
aot6wp,6
aoudl3,1
aoustl,1
aovwbb,6
aow09r,3
aoxua8,2
aoy03t,1
aoy0vb,1
aoyr2q,2
aoyrz6,4
aoz3ad,1
aozdnj,1
aoze7y,1
aozt3z,3
ap0d3n,4
ap1ag7,1
ap1hc7,3
ap26bu,3
ap29bz,10
ap4cvr,1
ap4xk4,13
ap53yb,1
ap55b7,1
ap5ri7,1
ap66qc,1
ap6ghm,2
ap6mrd,1
ap703c,1
ap70i6,1
ap71d7,8
ap851o,1
ap85kj,1
ap92hd,1
ap9mxs,14
ap9w3g,1
apa3n4,1
apazdg,1
apbf3n,1
apbrz4,1
apc3nh,1
apcuh4,6
apefqn,1
apgaz7,10
apgic4,2
api87a,1
apibw2,2
apidtr,2
apifrf,4
apig1j,2
apj6sm,1
apjfns,1
apjfus,1
apm5y6,1
apmj1m,1
apmmpb,1
apmutn,1
apo6zt,1
apobrw,1
apop4e,2
apoujo,2
appwfb,11
appwqf,1
apqw9g,8
aprels,8
aptpiu,16
